"verb";"meanings"
"carecer";"<li>intr. No poseer algo,  tener falta de algo.<br> ♦ Se construye con la prep. <span class=""i"">de:</span><span class=""i""> carecen de escrúpulos.</span> <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">agradecer</span>.<br></li>"
"carenar";""
"cargar";"<li>tr. Echar peso sobre algo o sobre alguien:<br><span class=""i"">no carguéis mucho el coche.</span> </li><li> Embarcar o poner en un vehículo mercancías para transportarlas:<br><span class=""i"">cargar los camiones.</span> </li><li> Preparar un arma,  poniéndole munición:<br><span class=""i"">cargar la pistola.</span> </li><li> Proveer a algo de la carga que necesita para ser útil:<br><span class=""i"">cargar el mechero.</span> </li><li> Acumular energía eléctrica en un aparato:<br><span class=""i"">cargar la batería del teléfono móvil.</span> </li><li> Gravar con impuestos:<br><span class=""i"">se habla de cargar nuevos impuestos sobre los coches de importación.</span> </li><li> Anotar en una cuenta,  adeudar:<br><span class=""i"">cárguelo en mi cuenta.</span> </li><li> <span class=""i"">col. </span>Fastidiar,  importunar,  molestar:<br><span class=""i"">esta niña me carga.</span> </li><li> intr. Acometer con fuerza y vigor a los enemigos:<br><span class=""i"">¡atención,  tropas,  carguen!</span> </li><li> En situaciones que afectan al orden público,  efectuar una carga los cuerpos de policía sobre aquellos que lo alteran:<br><span class=""i"">tras la final de la copa de fútbol y los desórdenes que acarreó,  la policía se vio obligada a cargar.</span> </li><li> Tomar o tener sobre sí alguna obligación o cuidado:<br><span class=""i"">siempre carga él con toda la responsabilidad.</span> </li><li> <span class=""ac"">dep.</span> Chocar con fuerza un jugador contra otro:<br><span class=""i"">en fútbol americano es habitual que los jugadores carguen contra los adversarios.</span> </li><li> <span class=""i"">col.</span> Suspender un examen o una asignatura:<br><span class=""i"">este año he cargado tres asignaturas.</span> </li><li> prnl. Matar:<br><span class=""i"">se cargó al ladrón.</span> </li><li> Llenarse o llegar a tener abundancia de ciertas cosas.<br> ♦ Se construye con de la prep. <span class=""i"">de:</span> <span class=""i"">se ha cargado de hijos.</span> </li><li> Tratándose del tiempo atmosférico,  el cielo o el horizonte,  irse aglomerando y condensando las nubes:<br><span class=""i"">se está cargando la tarde,  igual cenamos con tormenta.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"cargosear";"<li>tr. <span class=""i"">amer.</span> Importunar,  molestar.<br></li>"
"cariar";"<li>tr. y prnl. Producir caries:<br><span class=""i"">se me ha cariado una muela.</span><br> ♦ Tiene dos modelos de conj.,  uno como <span class=""b"">cambiar</span> y otro como <span class=""b"">vaciar.</span><br></li>"
"caricaturizar";"<li>tr. Hacer una caricatura de alguien o de algo:<br><span class=""i"">en la novela se caricaturiza el modo de vida de los nuevos ricos.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"carmenar";"<li>tr. y prnl. Desenredar,  desenmarañar y limpiar el cabello,  la lana o la seda.<br></li>"
"carnear";"<li>tr. <span class=""i"">amer.</span> Matar y descuartizar las reses para aprovechar su carne.<br></li>"
"carnerear";""
"carpintear";""
"carpir";"<li>tr. <span class=""i"">amer.</span> Limpiar o escardar la tierra para quitarle las malas hierbas.<br></li>"
"carraspear";"<li>intr. Sentir o padecer carraspera. </li><li> Toser levemente para limpiar la garganta y aclarar la voz:<br><span class=""i"">antes de abrir el micrófono,  carraspeó y luego comenzó a hablar.</span><br></li>"
"carretear";""
"cartear";""
"casar";"<li>m. Conjunto de casas que no llegan a formar pueblo.<br></li>"
"cascabelear";""
"cascar";"<li>tr. Quebrar. También prnl.:<br><span class=""i"">se cascó el huevo.</span> </li><li> <span class=""i"">col. </span>Golpear:<br><span class=""i"">te han cascado bien.</span> </li><li> intr. <span class=""i"">col.</span> Morir:<br><span class=""i"">en esa película la casca hasta el apuntador.</span> </li><li> <span class=""i"">col. </span>Charlar sin parar:<br><span class=""i""> ¡cómo casca esta mujer!</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"castellanizar";"<li>tr. Dar características de lo castellano o de la lengua castellana:<br><span class=""i"">la existencia del ""spanglish"" demuestra que algunas zonas se castellanizan.</span> También prnl. </li><li> prnl. Convertirse en hablante del castellano.<br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"castigar";"<li>tr. Ejecutar un castigo contra quien ha cometido una falta:<br><span class=""i"">castigó al niño sin cenar.</span> </li><li> Causar dolor físico o moral a una persona,  mortificar:<br><span class=""i"">castigar con la indiferencia.</span> </li><li> Corregir duramente,  escarmentar mediante una sanción:<br><span class=""i"">fue castigado con diez años de cárcel.</span> </li><li> Estimular con el látigo o con las espuelas al caballo para que acelere la marcha. </li><li> <span class=""ac"">taurom.</span> Obligar al toro,  con pases de muleta,  a moverse por donde quiere el torero.<br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"castrar";"<li>tr. Extirpar o anular los órganos genitales,  capar. </li><li> Debilitar,  anular o inutilizar alguna cosa. </li><li> Quitar parte de la miel de las colmenas dejando solo la suficiente para que las abejas puedan seguir trabajando.<br></li>"
"catalanizar";""
"catalizar";"<li>tr. Provocar alteraciones en la velocidad de una reacción química mediante una sustancia que permanece inalterada.<br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"catalogar";"<li>tr. Apuntar,  registrar o clasificar un objeto según unas normas de ordenación:<br><span class=""i"">aún quedan por catalogar todas las publicaciones periódicas.</span> </li><li> Encasillar,  etiquetar a una persona:<br><span class=""i"">les han catalogado de perdedores y eso está perjudicando su carrera.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"catapultar";"<li>tr. Lanzar con la catapulta. </li><li> Promocionar una actividad o a una persona:<br><span class=""i"">esta película te catapultará al estrellato.</span><br></li>"
"catar";"<li>tr. Probar un alimento o una bebida para determinar su sabor:<br><span class=""i"">cató el vino.</span> </li><li> Quitar a las colmenas los panales con miel,  dejando los imprescindibles para que las abejas continúen su producción,  castrar. </li><li> Experimentar una sensación,  generalmente por vez primera:<br><span class=""i"">nunca ha catado una borrachera.</span><br></li>"
"catatar";""
"catear";"<li>tr. <span class=""i"">amer.</span> Explorar terrenos en busca de alguna veta minera. </li><li> <span class=""i"">amer.</span> Allanar una casa ajena.<br></li>"
"categorizar";"<li>tr. Incluir un elemento en una categoría:<br><span class=""i"">algunos infinitivos se categorizan también como nombres,  por ejemplo ""saber"".</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"catequizar";""
"cauchar";""
"caucionar";""
"causar";"<li>tr. Motivar,  originar o producir algo:<br><span class=""i"">las obras de mi barrio están causando muchas molestias.</span><br></li>"
"causear";""
"cautelar";"<li>adj. Preventivo:<br><span class=""i"">se recomienda a la población tomar medidas cautelares ante las próximas tormentas.</span> </li><li> <span class=""ac"">der. </span>[Medida o regla] para prevenir la consecución de algo o precaver lo que pueda dificultarlo:<br><span class=""i"">acción cautelar.</span><br></li>"
"cauterizar";"<li>tr. Curar una herida quemándola con un instrumento específico o con una sustancia cáustica:<br><span class=""i"">cuando termine de sangrar hay que cauterizar esa herida.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"cautivar";"<li>tr. Aprisionar,  privar de libertad:<br><span class=""i"">al acabar la batalla,  los ganadores cautivaban a todos los soldados vencidos.</span> </li><li> Atraer,  ganarse a alguien:<br><span class=""i"">me cautiva su sonrisa.</span> </li><li> Ejercer una fuerte influencia en el ánimo por medio de atractivo físico o moral:<br><span class=""i"">con su arrolladora personalidad nos tenía a todos cautivados.</span><br></li>"
"cavar";"<li>tr. Levantar y mover la tierra. También intr.:<br><span class=""i"">solo se dedica a cavar sus tierras.</span> </li><li> intr. Ahondar,  profundizar en algo.<br></li>"
"caviar";"<li>m. Manjar a base de huevas frescas y aderezadas de diferentes peces,  sobre todo del esturión.<br></li>"
"cavilar";"<li>tr. Pensar en algo o sobre algo con insistencia y preocupación:<br><span class=""i"">está cavilando dónde ir a buscar trabajo.</span><br></li>"
"cazar";"<li>tr. Buscar y perseguir a ciertos animales para apresarlos o para matarlos:<br><span class=""i"">en Inglaterra es popular salir a cazar zorros.</span> </li><li> <span class=""i"">col.</span> Atrapar,  conseguir algo difícil con maña:<br><span class=""i"">hemos cazado un buen aumento de sueldo.</span> </li><li> <span class=""i"">col.</span> Conquistar,  cautivar la voluntad de una persona,  sobre todo con halagos o engaños:<br><span class=""i"">cazar un buen marido.</span> </li><li> <span class=""i"">col.</span> Sorprender a una persona en un descuido:<br><span class=""i"">le cacé cogiendo el dinero.</span> </li><li> <span class=""i"">col.</span> Comprender,  entender el significado de alguna cosa:<br><span class=""i"">ya he cazado lo esencial de la asignatura.</span><br> ♦ Véase conj. modelo.<br></li>"
"cazcalear";""
"cebar";"<li>tr. Engordar a un animal,  especialmente cuando se desea aprovechar su carne para el consumo:<br><span class=""i"">estuvieron cebando al pavo de la cena de Navidad durante casi dos meses.</span> </li><li> P. ext.,  alimentar a una persona abundantemente:<br><span class=""i"">tu madre te está cebando.</span> También prnl. </li><li> Alimentar,  avivar un sentimiento:<br><span class=""i"">con esos comentarios no hace más que cebar mi desprecio por él.</span> </li><li> Poner cebo en una trampa para atraer y cazar animales. </li><li> Cargar de combustible una máquina o cualquier dispositivo para que funcione:<br><span class=""i"">cebar una bomba de agua.</span> </li><li> <span class=""i"">amer.</span> Preparar mate. </li><li> prnl. Ensañarse:<br><span class=""i"">comenzó a insultarnos y se cebó con nosotros.</span><br></li>"
"cecear";"<li>intr. Pronunciar la <span class=""i"">s </span>con sonido de <span class=""i"">z:</span> <span class=""i"">muchos niños pequeños cecean y dicen ""ci"" en lugar de ""sí"".</span><br></li>"
"ceder";"<li>tr. Dar,  transferir:<br><span class=""i"">nos cedió su mesa.</span> </li><li> intr. Rendirse alguien,  dejar de oponerse:<br><span class=""i"">no tenía razón y tuvo que ceder.</span> </li><li> Cesar,  disminuir la resistencia:<br><span class=""i"">la puerta ha cedido.</span> </li><li> Mitigar la fuerza:<br><span class=""i"">ceder el temporal.</span><br></li>"
"cegar";"<li>tr. Privar de la vista,  aunque sea momentáneamente:<br><span class=""i"">me cegaron los faros de un coche.</span> </li><li> Ofuscar el entendimiento. También intr. y prnl.:<br><span class=""i"">se cegó por el odio.</span> </li><li> Cerrar,  tapar algo que estaba hueco o abierto:<br><span class=""i"">cegaron la entrada al túnel.</span> </li><li> intr. Perder la vista.<br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">negar</span>.<br></li>"
"cejar";"<li>intr. Aflojar o ceder en un empeño o una determinación.<br> ♦ Se usa más en frases negativas y seguido de la prep. <span class=""i"">en: </span><span class=""i"">no cejaremos en nuestro empeño de lograr la paz.</span><br></li>"
"celar";""
"celebrar";"<li>tr. y prnl. Realizar un acto social con solemnidad o formalidad:<br><span class=""i"">hoy se celebra la junta general de accionistas.</span> </li><li> tr. y prnl. Conmemorar,  festejar:<br><span class=""i"">se celebra nuestro aniversario.</span> </li><li> Alabar,  aplaudir algo o a alguien:<br><span class=""i"">el público celebró el estreno de su obra.</span> </li><li> tr. e intr. Decir misa.<br></li>"
"cellisquear";""
"cementar";""
"cenar";"<li>intr. Tomar la cena:<br><span class=""i"">¿a qué hora se cena en esta casa?</span> </li><li> tr. Comer en ella un determinado alimento:<br><span class=""i"">hemos cenado huevos revueltos.</span><br></li>"
"cencerrear";""
"censar";"<li>tr. Incluir o registrar en el censo:<br><span class=""i"">debes censarte si deseas votar.</span> </li><li> intr. Hacer el censo de los habitantes de una población.<br></li>"
"censurar";"<li>tr. Reprobar,  hacer una crítica negativa. </li><li> Exponer un juicio,  positivo o negativo,  sobre algo. </li><li> Ejercer su oficio el censor,  determinando cambios o supresiones sobre lo que está examinando.<br></li>"
"centellear";"<li>intr. Despedir destellos de luz de intensidad y color variables. </li><li> Brillar intensamente los ojos:<br><span class=""i"">sus ojos centelleaban de emoción.</span><br></li>"
"centralizar";"<li>tr. y prnl. Reunir en un centro o bajo una dirección común. </li><li> Asumir un poder central facultades atribuidas a organismos locales.<br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"centrar";"<li>tr. Colocar una cosa haciendo coincidir su centro con el de otra. </li><li> Orientar o focalizar en un punto u objetivo determinado:<br><span class=""i"">centraron todo su cariño en la pequeña.</span> </li><li> Atraer o ser centro de atención:<br><span class=""i""> su actuación centró todas las miradas.</span> </li><li> tr. y prnl. Proporcionar o hallar un estado de serenidad o concentración:<br><span class=""i"">debo centrarme en mi tesis doctoral.</span> </li><li> intr. <span class=""ac"">dep.</span> Especialmente en el fútbol,  lanzar un jugador el balón desde un lateral del campo hacia la parte central próxima a la portería contraria.<br></li>"
"centrifugar";"<li>tr. Aplicar una fuerza centrífuga a una sustancia o materia para secarla o para separar componentes mezclados.<br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
